t,n,SortTime,CombineTime,TotalTime
1,5000,1678668,70622,1749290
1,5000,1661887,68496,1730383
1,5000,1668169,72775,1740944
1,5000,1667366,70316,1737682
1,5000,1648202,69882,1718084
1,5000,1683706,66293,1749999
1,5000,1708535,75722,1784257
1,5000,1564920,62275,1627195
1,5000,1661326,78217,1739543
1,5000,1660471,72457,1732928
1,5000,1680259,71738,1751997
1,5000,1590909,70713,1661622
1,5000,1666528,68196,1734724
1,5000,1702055,77585,1779640
1,5000,1688634,76612,1765246
1,5000,1709500,68923,1778423
1,5000,1662886,65233,1728119
1,5000,1671391,65154,1736545
1,5000,1695635,65404,1761039
1,5000,1639175,87031,1726206
1,5000,1666883,135521,1802404
1,5000,1599466,68143,1667609
1,5000,1554206,64093,1618299
1,5000,1587055,70450,1657505
1,5000,1673482,69478,1742960
1,5000,1644275,71076,1715351
1,5000,1762354,81086,1843440
1,5000,1644441,76014,1720455
1,5000,1601579,71041,1672620
1,5000,1718892,75537,1794429
1,5000,1590315,84422,1674737
1,5000,1711017,76501,1787518
1,5000,1717371,114496,1831867
1,5000,1577359,69523,1646882
1,5000,1664221,63412,1727633
1,5000,1554812,148777,1703589
1,5000,1676579,71127,1747706
1,5000,1585696,137930,1723626
1,5000,1662890,68918,1731808
1,5000,1557979,65860,1623839
1,5000,1589406,73228,1662634
1,5000,1690247,63073,1753320
1,5000,1649300,72120,1721420
1,5000,1776993,73870,1850863
1,5000,1661643,79328,1740971
1,5000,1666613,70660,1737273
1,5000,1671072,68096,1739168
1,5000,1680384,65035,1745419
1,5000,1565217,67608,1632825
1,5000,1676854,70892,1747746
1,5000,1510056,68879,1578935
1,5000,1676768,74527,1751295
1,5000,1658452,75576,1734028
1,5000,1632219,78654,1710873
1,5000,1652472,71687,1724159
1,5000,1719744,70164,1789908
1,5000,1554059,71753,1625812
1,5000,1536706,64326,1601032
1,5000,1568436,67737,1636173
1,5000,1722272,72611,1794883
1,5000,1548586,69950,1618536
1,5000,1649953,68843,1718796
1,5000,1548721,67662,1616383
1,5000,1694679,68852,1763531
1,5000,1622234,65079,1687313
1,5000,1671105,64818,1735923
1,5000,1664563,69703,1734266
1,5000,1671899,68309,1740208
1,5000,1574055,70931,1644986
1,5000,1628454,134388,1762842
1,5000,1672666,67354,1740020
1,5000,1688336,73358,1761694
1,5000,1608858,71210,1680068
1,5000,1571375,62113,1633488
1,5000,1698908,73621,1772529
1,5000,1775106,73009,1848115
1,5000,1601121,70903,1672024
1,5000,1683226,67850,1751076
1,5000,1669079,68065,1737144
1,5000,1674647,70946,1745593
1,5000,1590383,72203,1662586
1,5000,1658544,68678,1727222
1,5000,1610641,74893,1685534
1,5000,1709940,66793,1776733
1,5000,1635863,69667,1705530
1,5000,1670524,61604,1732128
1,6000,2010109,75909,2086018
1,6000,1921591,81732,2003323
1,6000,1835532,92642,1928174
1,6000,1975929,80312,2056241
1,6000,1920337,71191,1991528
1,6000,1838970,74073,1913043
1,6000,1998009,79380,2077389
1,6000,1943390,91061,2034451
1,6000,1956033,81921,2037954
1,6000,1978493,80498,2058991
1,6000,1862895,81609,1944504
1,6000,1978078,81148,2059226
1,6000,1979204,85187,2064391
1,6000,1976887,86220,2063107
1,6000,1996423,76385,2072808
1,6000,1967153,88912,2056065
1,6000,2002980,82853,2085833
1,6000,1953888,73495,2027383
1,6000,2014527,74094,2088621
1,6000,1862501,78528,1941029
1,6000,2019000,74525,2093525
1,6000,2008623,75770,2084393
1,6000,1950351,82728,2033079
1,6000,1982686,74151,2056837
1,6000,1916440,80004,1996444
1,6000,1968412,74680,2043092
1,6000,1998471,81148,2079619
1,6000,1943470,81807,2025277
1,6000,2009408,83515,2092923
1,6000,1959608,84214,2043822
1,6000,1964633,73061,2037694
1,6000,1859573,86937,1946510
1,6000,1899629,86056,1985685
1,6000,2013386,72807,2086193
1,6000,1979874,79107,2058981
1,6000,1969974,76692,2046666
1,6000,1989416,77743,2067159
1,6000,1978190,75646,2053836
1,6000,1968651,77083,2045734
1,6000,1824938,83449,1908387
1,6000,1994462,90898,2085360
1,6000,1951212,85944,2037156
1,6000,1959424,88196,2047620
1,6000,1847608,87143,1934751
1,6000,1991470,84244,2075714
1,6000,1963611,75025,2038636
1,6000,1904310,91825,1996135
1,6000,2012713,81726,2094439
1,6000,2008473,77884,2086357
1,6000,1973645,78823,2052468
1,6000,2219480,82024,2301504
1,6000,2017568,80472,2098040
1,6000,1939280,84144,2023424
1,6000,1959902,79606,2039508
1,6000,1835862,209998,2045860
1,6000,1871456,81768,1953224
1,6000,1965637,80548,2046185
1,6000,1971905,84802,2056707
1,6000,1876210,75349,1951559
1,6000,1881988,73794,1955782
1,6000,1876094,81116,1957210
1,6000,2001169,82282,2083451
1,6000,2017980,84800,2102780
1,6000,1971524,83565,2055089
1,6000,1989532,80549,2070081
1,6000,1974929,76193,2051122
1,6000,1907680,80507,1988187
1,6000,1970503,236068,2206571
1,6000,1971052,218112,2189164
1,6000,1962175,216136,2178311
1,6000,1998285,138977,2137262
1,6000,1876818,75994,1952812
1,6000,1943783,86548,2030331
1,6000,2001210,82563,2083773
1,6000,1857414,79832,1937246
1,6000,1976049,75373,2051422
1,6000,1980891,82213,2063104
1,6000,1986011,80447,2066458
1,6000,1975210,81345,2056555
1,6000,1989323,74726,2064049
1,6000,2225375,79667,2305042
1,6000,1929195,93925,2023120
1,6000,1967615,84332,2051947
1,6000,1984740,84339,2069079
1,6000,1809023,92532,1901555
1,6000,1960422,77646,2038068
1,6000,2072893,79648,2152541
1,6000,1977304,78526,2055830
1,6000,2014512,76863,2091375
1,6000,1887568,73476,1961044
1,6000,1985016,79352,2064368
1,6000,1981312,78308,2059620
1,6000,1972965,80663,2053628
1,6000,1957418,80963,2038381
1,6000,1907684,84680,1992364
1,6000,1968518,79416,2047934
1,6000,1974321,84014,2058335
1,6000,1954409,82806,2037215
1,6000,1925922,89922,2015844
1,6000,2013656,77951,2091607
1,6000,2010570,81627,2092197
1,6000,1895019,77869,1972888
1,6000,1894029,93561,1987590
1,6000,1936968,81562,2018530
1,6000,1870465,86338,1956803
1,6000,1983236,78886,2062122
1,6000,1927131,78926,2006057
1,6000,1962370,78669,2041039
1,6000,2020948,75133,2096081
1,6000,1963600,79666,2043266
1,6000,1965434,80064,2045498
1,6000,1865132,82200,1947332
1,6000,1992462,86075,2078537
1,6000,1879753,76148,1955901
1,6000,1898913,81930,1980843
1,7000,2199650,386284,2585934
1,7000,2346393,251642,2598035
1,7000,2258538,394326,2652864
1,7000,2287501,389489,2676990
1,7000,2294777,274681,2569458
1,7000,2317867,373238,2691105
1,7000,2309027,264108,2573135
1,7000,2251993,288444,2540437
1,7000,2317468,381895,2699363
1,7000,2277642,296680,2574322
1,7000,2270996,399976,2670972
1,7000,2554491,305489,2859980
1,7000,2304139,330124,2634263
1,7000,2296901,308026,2604927
1,7000,2254997,280409,2535406
1,7000,2308088,357258,2665346
1,7000,2474899,297779,2772678
1,7000,2320502,307453,2627955
1,7000,2337033,345435,2682468
1,7000,2351419,240189,2591608
1,7000,2287794,389952,2677746
1,7000,2322424,315701,2638125
1,7000,2291269,244512,2535781
1,7000,2313950,312707,2626657
1,7000,2242042,349089,2591131
1,7000,2325402,359269,2684671
1,7000,2265006,304373,2569379
1,7000,2208162,273558,2481720
1,7000,2293153,275169,2568322
1,7000,2297253,300831,2598084
1,7000,2333162,391834,2724996
1,7000,2264063,364429,2628492
1,7000,2204097,312051,2516148
1,7000,2344404,355255,2699659
1,7000,2215505,368601,2584106
1,7000,2193932,283152,2477084
1,7000,2246995,273799,2520794
1,7000,2255873,354924,2610797
1,7000,2319074,317773,2636847
1,7000,2302180,317857,2620037
1,7000,2281122,340686,2621808
1,7000,2281661,336199,2617860
1,7000,2306359,251957,2558316
1,7000,2240216,272356,2512572
1,7000,2277730,327316,2605046
1,7000,2199775,290101,2489876
1,7000,2326834,378422,2705256
1,7000,2343127,241291,2584418
1,7000,2272040,376852,2648892
1,7000,2254173,297311,2551484
1,7000,2231560,336841,2568401
1,7000,2312465,246912,2559377
1,7000,2278944,290399,2569343
1,7000,2140848,279175,2420023
1,7000,2337478,276891,2614369
1,7000,2316238,363497,2679735
1,7000,2316415,376674,2693089
1,7000,2174177,268380,2442557
1,7000,2318629,372494,2691123
1,7000,2318389,386858,2705247
1,7000,2171110,313628,2484738
1,7000,2323233,311404,2634637
1,7000,2284617,351632,2636249
1,7000,2314467,298529,2612996
1,7000,2334226,278394,2612620
1,7000,2313753,379353,2693106
1,7000,2277613,296847,2574460
1,7000,2314654,323806,2638460
1,7000,2288690,404781,2693471
1,7000,2524021,316123,2840144
1,7000,2301607,261452,2563059
1,7000,2408229,268231,2676460
1,7000,2289439,347707,2637146
1,7000,2321515,248685,2570200
1,7000,2320876,348621,2669497
1,7000,2347304,273389,2620693
1,7000,2318116,367551,2685667
1,7000,2312654,368968,2681622
1,7000,2192168,279384,2471552
1,7000,2318371,395066,2713437
1,7000,2311080,355964,2667044
1,7000,2323004,324397,2647401
1,7000,2306937,373362,2680299
1,7000,2314078,357674,2671752
1,7000,2296630,394928,2691558
1,7000,2290694,388964,2679658
1,7000,2281195,344826,2626021
1,7000,2317138,380703,2697841
1,7000,2193807,307995,2501802
1,7000,2327866,376930,2704796
1,7000,2267653,350250,2617903
1,7000,2297085,347858,2644943
1,7000,2272728,237547,2510275
1,7000,2290750,404047,2694797
1,7000,2228603,346878,2575481
1,7000,2312038,395949,2707987
1,7000,2244216,274722,2518938
1,7000,2248401,395414,2643815
1,7000,2323340,320862,2644202
1,7000,2294711,251111,2545822
1,7000,2320661,322529,2643190
1,7000,2215233,331720,2546953
1,7000,2233968,252055,2486023
1,7000,2226322,302271,2528593
1,7000,2239232,297151,2536383
1,7000,2191655,327804,2519459
1,7000,2324571,268739,2593310
1,7000,2279647,378902,2658549
1,7000,2299786,386182,2685968
1,7000,2178930,283047,2461977
1,7000,2342669,309435,2652104
1,7000,2333204,329902,2663106
1,7000,2242978,313225,2556203
1,7000,2321071,305912,2626983
1,7000,2303908,324539,2628447
1,8000,3000751,314197,3314948
1,8000,2613908,386346,3000254
1,8000,2616196,316520,2932716
1,8000,2552697,417825,2970522
1,8000,2646755,425986,3072741
1,8000,2662840,322132,2984972
1,8000,2651694,390527,3042221
1,8000,2518997,370902,2889899
1,8000,2999780,323611,3323391
1,8000,2650334,317034,2967368
1,8000,2586439,316905,2903344
1,8000,2479260,314008,2793268
1,8000,2573321,312268,2885589
1,8000,2658755,301404,2960159
1,8000,2622579,353063,2975642
1,8000,2637912,310363,2948275
1,8000,2655004,318917,2973921
1,8000,2621624,344892,2966516
1,8000,2507188,314248,2821436
1,8000,2522215,275977,2798192
1,8000,2575954,343415,2919369
1,8000,2649547,251948,2901495
1,8000,2643648,377490,3021138
1,8000,2588127,377735,2965862
1,8000,2662605,293636,2956241
1,8000,2558925,378198,2937123
1,8000,2550988,292188,2843176
1,8000,2643528,355750,2999278
1,8000,2550839,364928,2915767
1,8000,2600665,323517,2924182
1,8000,2642894,371060,3013954
1,8000,2603896,367201,2971097
1,8000,2688845,327104,3015949
1,8000,2642084,257550,2899634
1,8000,2555092,287186,2842278
1,8000,2666736,356244,3022980
1,8000,2590245,332384,2922629
1,8000,2663713,370516,3034229
1,8000,2639145,345575,2984720
1,8000,2588247,391621,2979868
1,8000,2670863,303091,2973954
1,8000,2634933,280475,2915408
1,8000,2600005,409715,3009720
1,8000,2501998,314353,2816351
1,8000,2652794,292638,2945432
1,8000,2657648,287330,2944978
1,8000,2633235,332879,2966114
1,8000,2565151,324392,2889543
1,8000,2675870,313171,2989041
1,8000,2604042,359519,2963561
1,8000,2646465,371460,3017925
1,8000,2569608,297081,2866689
1,8000,2641909,342166,2984075
1,8000,2545978,371119,2917097
1,8000,2587825,393639,2981464
1,8000,2646609,369952,3016561
1,8000,2637551,345677,2983228
1,8000,2585191,371408,2956599
1,8000,2678669,322156,3000825
1,8000,2641457,278686,2920143
1,8000,2614470,263765,2878235
1,8000,2582741,372136,2954877
1,8000,2655812,320614,2976426
1,8000,2669359,274797,2944156
1,8000,2575090,350551,2925641
1,8000,2571887,300786,2872673
1,8000,2574990,386159,2961149
1,8000,2630548,253179,2883727
1,8000,2634643,258053,2892696
1,8000,2620109,378067,2998176
1,8000,2670359,317204,2987563
1,8000,2646215,343256,2989471
1,8000,2461455,362388,2823843
1,8000,2586166,303284,2889450
1,8000,2640920,361095,3002015
1,8000,2613067,310077,2923144
1,8000,2508582,385886,2894468
1,8000,2548724,365934,2914658
1,8000,2608762,298256,2907018
1,8000,2684968,278221,2963189
1,8000,2559745,412874,2972619
1,8000,2629691,366407,2996098
1,8000,2560297,330248,2890545
1,8000,2614738,395346,3010084
1,8000,2644032,288372,2932404
1,8000,2577551,316699,2894250
1,8000,2662479,376861,3039340
1,8000,2635232,282888,2918120
1,8000,2680409,299562,2979971
1,8000,2551081,399594,2950675
1,8000,2632937,355547,2988484
1,8000,2602417,373352,2975769
1,8000,2626476,366910,2993386
1,8000,2643852,330947,2974799
1,8000,2608805,318002,2926807
1,8000,2660522,295525,2956047
1,8000,2599271,393522,2992793
1,8000,2665658,315211,2980869
1,8000,2585942,408558,2994500
1,8000,2631685,382213,3013898
1,8000,2502168,339798,2841966
1,8000,2649652,322766,2972418
1,8000,2556335,302666,2859001
1,8000,2654728,298193,2952921
1,8000,2671494,311744,2983238
1,8000,2552640,356109,2908749
1,8000,2614244,367169,2981413
1,8000,2657167,298913,2956080
1,8000,2519562,317160,2836722
1,8000,2579767,366380,2946147
1,8000,2642443,311750,2954193
1,8000,2762020,252504,3014524
1,8000,2617565,337978,2955543
1,8000,2601609,362618,2964227
1,8000,2515773,363878,2879651
1,9000,2975709,355952,3331661
1,9000,2934140,267005,3201145
1,9000,2991176,334988,3326164
1,9000,2857101,342363,3199464
1,9000,3309247,505084,3814331
1,9000,3022114,260269,3282383
1,9000,2939245,378741,3317986
1,9000,2928063,256010,3184073
1,9000,2974191,316818,3291009
1,9000,2983675,326404,3310079
1,9000,2912370,360397,3272767
1,9000,2991823,342834,3334657
1,9000,2925448,392079,3317527
1,9000,3302347,322523,3624870
1,9000,2967779,284966,3252745
1,9000,2885687,418815,3304502
1,9000,2965565,379565,3345130
1,9000,2952856,401755,3354611
1,9000,2785904,280782,3066686
1,9000,2892981,404956,3297937
1,9000,3003535,310696,3314231
1,9000,2962474,420421,3382895
1,9000,2886554,366327,3252881
1,9000,2885835,412377,3298212
1,9000,2916155,360108,3276263
1,9000,2923355,335095,3258450
1,9000,2965513,395265,3360778
1,9000,2918472,425705,3344177
1,9000,2888494,312617,3201111
1,9000,2843473,307689,3151162
1,9000,2851203,283635,3134838
1,9000,2985307,295754,3281061
1,9000,2988358,412383,3400741
1,9000,2899624,403238,3302862
