n,TotalTime
10000,2759279
10000,2493305
10000,2498091
10000,2500512
10000,3356371
10000,2479425
10000,2497902
10000,2490351
10000,2505601
10000,2484374
20000,5339929
20000,5331096
20000,5321699
20000,5698285
20000,5360613
20000,5332983
20000,5539173
20000,5344997
20000,5326443
20000,7558040
30000,8403894
30000,8308970
30000,8320341
30000,8316713
30000,8315107
30000,8319215
30000,8391689
30000,9251898
30000,8330432
30000,8339130
40000,11535402
40000,11370578
40000,11412569
40000,11402340
40000,11376970
40000,11375060
40000,11375985
40000,11380171
40000,11396435
40000,11407535
50000,14565371
50000,14523993
50000,14526818
50000,14533939
50000,14574698
50000,14506700
50000,14514327
50000,14516159
50000,14545168
50000,14532688
60000,17708751
60000,17764852
60000,17753000
60000,17725201
60000,17720392
60000,17704568
60000,17754949
60000,17747233
60000,17769544
60000,17739706
70000,20968806
70000,20926809
70000,20981619
70000,20968134
70000,20960923
70000,20967673
70000,20991415
70000,20950955
70000,20969509
70000,20960443
80000,24195476
80000,24221187
80000,24236275
80000,24211532
80000,24199347
80000,24272912
80000,24316001
80000,24234523
80000,24223167
80000,24248661
90000,27547225
90000,27571264
90000,27542574
90000,27564249
90000,27572055
90000,27560270
90000,27523518
90000,27545473
90000,27530371
90000,27708374
100000,30873718
100000,30872218
100000,30870854
100000,30884089
100000,30871343
100000,30890625
100000,30851709
100000,30990706
100000,30846332
100000,30923136
100000,30911496
100000,30861298
100000,30963632
100000,30917056
100000,30966504
100000,30892566
100000,30853672
100000,30862197
100000,30878350
100000,30954718
200000,65515629
200000,65457137
200000,65476547
200000,65526751
200000,65412820
200000,65389810
200000,65413022
200000,65440059
200000,65433373
200000,65528219
300000,101705387
300000,101380946
300000,101431475
300000,101432326
300000,101619415
300000,101249423
300000,101431268
300000,101332523
300000,101271575
300000,101336364
400000,138420205
400000,138506357
400000,138150116
400000,138170553
400000,138255157
400000,138294871
400000,138386118
400000,138237718
400000,138293989
400000,138195850
500000,176585641
500000,175797439
500000,175738606
500000,175722649
500000,175791961
500000,175751525
500000,175994207
500000,176159447
500000,175998040
500000,175936795
600000,215102296
600000,214120059
600000,213967290
600000,214058546
600000,214080884
600000,213763464
600000,214485651
600000,214096654
600000,213785784
600000,214832879
700000,252230103
700000,252660863
700000,253573614
700000,254200420
700000,252655650
700000,252332482
700000,252374655
700000,252741955
700000,252948424
700000,252445351
800000,291879695
800000,292086883
800000,294551361
800000,291360023
800000,291699545
800000,291473385
800000,291544240
800000,291981581
800000,291326183
800000,291286033
900000,330591074
900000,331357644
900000,330797531
900000,331060855
900000,331049010
900000,330407647
900000,331012989
900000,330681331
900000,330941767
900000,330872151
1000000,370301429
1000000,369863500
1000000,370699651
1000000,370278085
1000000,371590509
1000000,370255089
1000000,370805431
1000000,370798422
1000000,370151065
1000000,371013397
1000000,370274792
1000000,370160251
1000000,370819881
1000000,370440332
1000000,370373343
1000000,370773187
1000000,370993747
1000000,370844051
1000000,370428455
1000000,370884362
2000000,779013750
2000000,778526673
2000000,778569293
2000000,778239106
2000000,779060805
2000000,778158095
2000000,778676456
2000000,780933666
2000000,778121113
2000000,778268292
3000000,1199569631
3000000,1200955132
3000000,1202445450
3000000,1200290358
3000000,1200235925
3000000,1200578122
3000000,1200860921
3000000,1201270399
3000000,1201963375
3000000,1208205905
4000000,1632124178
4000000,1631706933
4000000,1631097994
4000000,1634265985
4000000,1639607548
4000000,1631365825
4000000,1631796101
4000000,1632069164
4000000,1632460685
4000000,1633268952
5000000,2068629691
5000000,2067822004
5000000,2070991137
5000000,2075334555
5000000,2070375051
5000000,2076399960
5000000,2068995722
5000000,2069136966
5000000,2069080805
5000000,2068714845
6000000,2515415293
6000000,2512959002
6000000,2513982553
6000000,2514884939
6000000,2513209687
6000000,2511745522
6000000,2513378501
6000000,2512337461
6000000,2516548478
6000000,2518851737
7000000,2957736085
7000000,2973203680
7000000,2959329386
7000000,2961065650
7000000,2974949353
7000000,2962831199
7000000,2961978772
7000000,2959942069
7000000,2959662043
7000000,2962896377
8000000,3414032152
8000000,3410407238
8000000,3412974657
8000000,3414190584
8000000,3411251555
8000000,3414760103
8000000,3416739018
8000000,3413049182
8000000,3414318133
8000000,3410891430
9000000,3866447902
9000000,3866423368
9000000,3865940407
9000000,3867032662
9000000,3866623371
9000000,3867212905
9000000,3870353350
9000000,3865465931
9000000,3872764231
9000000,3870597057
10000000,4321820583
10000000,4326485025
10000000,4326165593
10000000,4349407239
10000000,4325671756
10000000,4323540338
10000000,4325762658
10000000,4326895623
10000000,4322936687
10000000,4323994032
10000000,4334931219
10000000,4331346966
10000000,4328915200
10000000,4327397555
10000000,4327344517
10000000,4323266615
10000000,4323541134
10000000,4326002666
10000000,4329403294
10000000,4325031949
20000000,9015691199
20000000,9022442202
20000000,9021502148
20000000,9031767563
20000000,9023826101
20000000,9022840956
20000000,9028760421
20000000,9027495631
20000000,9030587834
20000000,9022469188
30000000,13871961736
30000000,13862571678
30000000,13870178319
30000000,13870641757
30000000,13859861555
30000000,13923280674
30000000,13897402989
30000000,13862162518
30000000,13863296963
30000000,13874146897
40000000,18803620831
40000000,18795258910
40000000,18795626622
40000000,18815503890
40000000,18795704966
40000000,18805937258
40000000,18838206834
40000000,18792734260
40000000,18789759579
40000000,18804248949
50000000,23824226471
50000000,23784819311
50000000,23779245912
50000000,23781913136
50000000,23792190368
50000000,23793408329
50000000,23785062056
50000000,23821931802
50000000,23796539050
50000000,23796687507
60000000,28837589724
60000000,28885721967
60000000,28951977910
60000000,28893592710
60000000,28880200557
60000000,28848604808
60000000,28858449867
60000000,28839991091
60000000,28849778561
60000000,28850855234
70000000,33982903846
70000000,33998774559
70000000,33964861688
70000000,33939358413
70000000,33943446800
70000000,33976374403
70000000,34012195917
70000000,33971938743
70000000,33945609713
70000000,34073454918
80000000,39107928943
80000000,39088523087
80000000,39119352393
80000000,39133937637
80000000,39133297163
80000000,39064532312
80000000,39093081298
80000000,39087049949
80000000,39096540574
80000000,39086977256
90000000,44236696484
90000000,44252009499
90000000,44276275862
90000000,44255924846
90000000,44237343200
90000000,44229932152
90000000,44259999343
90000000,44275803758
90000000,44243269512
90000000,44256713345
100000000,49464127113
100000000,49460101203
100000000,49425940663
100000000,49408946884
100000000,49480413158
100000000,49421711140
100000000,49446591972
100000000,49566434994
100000000,49429880604
100000000,49435330459
