t,n,SortTime,CombineTime
1,10000,12259529,181770
1,10000,13710796,198616
1,10000,11405200,178697
1,10000,12451856,177129
1,10000,12713182,181571
1,10000,13187529,181364
1,10000,13347823,177242
1,10000,13101208,185576
1,10000,12710598,191590
1,10000,13283710,183533
1,20000,20573061,360086
1,20000,20943546,344303
1,20000,23517744,347132
1,20000,21420223,386090
1,20000,21409554,375585
1,20000,20617839,339851
1,20000,20804069,343950
1,20000,20871144,350264
1,20000,21661896,337269
1,20000,20817098,354652
1,30000,31342539,986558
1,30000,28595002,865364
1,30000,31203020,1249157
1,30000,28180364,1407269
1,30000,31846827,1212573
1,30000,32635837,1104423
1,30000,30644614,998330
1,30000,30046403,1356782
1,30000,30967943,846461
1,30000,30881132,869437
1,40000,41178529,915142
1,40000,39477760,1064852
1,40000,35975349,1562939
1,40000,40745345,1392150
1,40000,35911548,1159843
1,40000,35224046,1153867
1,40000,37264314,1513804
1,40000,37586803,1174467
1,40000,45736145,1561357
1,40000,42596081,1498405
1,50000,50318902,809905
1,50000,44733993,787872
1,50000,47504573,829258
1,50000,48750640,828007
1,50000,47778879,609650
1,50000,48731810,816407
1,50000,47300565,815607
1,50000,44695507,815585
1,50000,48900057,849122
1,50000,48377902,839895
1,60000,51829015,999406
1,60000,57254816,982148
1,60000,58796771,995896
1,60000,57727276,724574
1,60000,52084351,986239
1,60000,55917467,805157
1,60000,51987568,977447
1,60000,50197729,969048
1,60000,58207774,982496
1,60000,58789023,1053794
1,70000,64286987,1160020
1,70000,61177780,849179
1,70000,68074506,1162579
1,70000,67989807,863050
1,70000,57706312,1165703
1,70000,61946447,856397
1,70000,64112761,1152904
1,70000,67126449,1143704
1,70000,63445232,1165380
1,70000,64147803,1191587
1,80000,70247182,1296412
1,80000,75327652,963852
1,80000,70774276,1316721
1,80000,71445608,1304264
1,80000,72617779,959241
1,80000,69246991,948598
1,80000,70500218,1320856
1,80000,76113384,978252
1,80000,74064038,1131603
1,80000,75201539,1340098
1,90000,80422820,1455999
1,90000,79875552,1475516
1,90000,73129497,1454774
1,90000,79367281,1468047
1,90000,84810586,1477699
1,90000,82757688,1470148
1,90000,84567974,1298993
1,90000,80046178,1459968
1,90000,78645379,1443566
1,90000,81651203,1374648
1,100000,89211398,1276594
1,100000,86328496,1581160
1,100000,86267630,1648709
1,100000,82946749,1638637
1,100000,89407825,1229007
1,100000,97593892,1647042
1,100000,81643801,1632417
1,100000,86984210,1236046
1,100000,90678958,1228280
1,100000,87517022,1647093
1,100000,85810754,1211025
1,100000,85088864,1639976
1,100000,78998737,1506971
1,100000,92265915,1649198
1,100000,94526856,1229924
1,100000,89730441,1631794
1,100000,83683335,1499073
1,100000,86874214,1174443
1,100000,83519036,1626309
1,100000,87766197,1657496
1,200000,159642931,1881851
1,200000,158120987,1985362
1,200000,158334152,2029231
1,200000,162504346,2040859
1,200000,157353940,2076634
1,200000,156353918,1987330
1,200000,159354009,2008269
1,200000,167906275,2150688
1,200000,159631303,1993388
1,200000,155440239,1993293
1,300000,231499242,3651155
1,300000,236853730,4255091
1,300000,250319791,3567807
1,300000,251302852,4360988
1,300000,236714392,3537782
1,300000,257811467,3179637
1,300000,230319892,3622532
1,300000,254290467,3616823
1,300000,232541214,3619500
1,300000,259423042,4735951
1,400000,310522055,4115712
1,400000,307446157,4164428
1,400000,305622754,4128712
1,400000,310245596,4873741
1,400000,302218424,4451111
1,400000,309255391,4188929
1,400000,305986730,4126035
1,400000,305320401,4139466
1,400000,306633013,4910824
1,400000,311379280,4132641
1,500000,380562751,5193776
1,500000,381672348,5337786
1,500000,426773970,5087048
1,500000,427733849,5112731
1,500000,420140072,5150613
1,500000,420545290,5375959
1,500000,426274759,5111677
1,500000,422154002,5115778
1,500000,420987447,5156967
1,500000,421699788,5078819
1,600000,497549774,5930310
1,600000,503953152,5991155
1,600000,506314608,5992685
1,600000,503318008,6739187
1,600000,499377009,5968087
1,600000,503259082,5966931
1,600000,507199671,5981736
1,600000,500228734,6001939
1,600000,501758043,6017652
1,600000,501315625,6010722
1,700000,581028075,7516114
1,700000,584260927,7452392
1,700000,581510217,7480034
1,700000,585678040,7449691
1,700000,586983987,7463996
1,700000,586589877,7511671
1,700000,588581501,7467593
1,700000,582945994,7638727
1,700000,587229209,7488672
1,700000,528332202,7517410
1,800000,600561740,8494495
1,800000,665453217,8501320
1,800000,673447956,8509466
1,800000,658472242,8494068
1,800000,600865540,7897207
1,800000,668040606,7948563
1,800000,661885581,7911327
1,800000,661950768,8464889
1,800000,661511199,8490835
1,800000,670094852,8547816
1,900000,755176112,8956651
1,900000,752595745,8947897
1,900000,750368286,8971226
1,900000,757772692,9048954
1,900000,751194466,8902346
1,900000,759425047,8958741
1,900000,753094194,8961284
1,900000,676044577,8904130
1,900000,675912473,9004934
1,900000,679564586,9019715
1,1000000,754394083,10167715
1,1000000,758139276,10093334
1,1000000,758283472,10106921
1,1000000,750940359,10180008
1,1000000,755248603,10099174
1,1000000,754333825,10124146
1,1000000,755396104,10078252
1,1000000,755090451,10194410
1,1000000,755452313,10265593
1,1000000,766336521,10178046
1,1000000,750290989,10186209
1,1000000,758210480,10198556
1,1000000,755090582,10236905
1,1000000,754929994,10155397
1,1000000,757565645,10075686
1,1000000,755516102,10099535
1,1000000,757512693,10078708
1,1000000,756156354,10115458
1,1000000,756376202,10164572
1,1000000,751245381,10122676
1,2000000,1503031103,20348217
1,2000000,1513579069,20622116
1,2000000,1510668838,20295700
1,2000000,1511513513,20400846
1,2000000,1678586432,20215208
1,2000000,1674636541,20417814
1,2000000,1668062437,20404953
1,2000000,1678068094,20321893
1,2000000,1677831902,20330989
1,2000000,1687057724,20368634
1,3000000,2518144357,30023662
1,3000000,2521641169,30034952
1,3000000,2516947288,30000812
1,3000000,2513221737,30091701
1,3000000,2511831145,30271453
1,3000000,2518644377,29989048
1,3000000,2519809499,30025096
1,3000000,2522459143,30053012
1,3000000,2505956523,30013838
1,3000000,2512120408,30105316
1,4000000,3384588779,40363491
1,4000000,3384674421,39854766
1,4000000,3389377198,39864662
1,4000000,3012509361,39863763
1,4000000,3027796892,39870615
1,4000000,3017323838,39786813
1,4000000,3038836412,39928006
1,4000000,3019378127,39788071
1,4000000,3026847279,39780406
1,4000000,3389198939,39808392
1,5000000,3766040001,50184655
1,5000000,3770016108,50202374
1,5000000,3771097036,50127271
1,5000000,4230412045,50702897
1,5000000,3751232695,50408681
1,5000000,4225366315,50199282
1,5000000,3759305709,50232875
1,5000000,4225021041,50153645
1,5000000,3757712186,50167202
1,5000000,4222388022,50320283
1,6000000,4503784051,59743403
1,6000000,4512966856,59616293
1,6000000,4501758114,59693517
1,6000000,4497177836,59652020
1,6000000,4496231629,59772748
1,6000000,4500589048,59753245
1,6000000,4505315585,59817325
1,6000000,4507231786,60138289
1,6000000,4503060208,59614928
1,6000000,4517532333,59950293
1,7000000,5951825580,69219520
1,7000000,5290471140,69668972
1,7000000,5287305931,69231974
1,7000000,5306041995,69411779
1,7000000,5288535787,69225538
1,7000000,5276933749,69263591
1,7000000,5280319580,69086747
1,7000000,5289179115,69332252
1,7000000,5280027018,69192635
1,7000000,5289052789,69242079
1,8000000,6048861040,79083055
1,8000000,6821419496,79045684
1,8000000,6069141969,80136929
1,8000000,6812486552,79127598
1,8000000,6825864473,79326636
1,8000000,6806117574,79206215
1,8000000,6841519547,79231031
1,8000000,6824909850,79082151
1,8000000,6826545199,79167041
1,8000000,6826555354,79087660
1,9000000,7665699106,89710302
1,9000000,7667154935,89905522
1,9000000,6803448297,89465480
1,9000000,6832850767,89497626
1,9000000,6809008335,89312738
1,9000000,6801372612,89715360
1,9000000,6813947120,89468399
1,9000000,6800709020,89778506
1,9000000,6796700731,89734776
1,9000000,6812645367,89780200
1,10000000,8524185326,98742500
1,10000000,7548448262,98638071
1,10000000,7568609259,98863118
1,10000000,7546845504,98715045
1,10000000,7547123660,98776970
1,10000000,7554026853,98680982
1,10000000,7569896225,99342933
1,10000000,7547527009,98894886
1,10000000,7555401763,98654608
1,10000000,7540051223,98750626
1,10000000,7556982595,98756318
1,10000000,7548589920,98674654
1,10000000,7548651701,98759102
1,10000000,7547435963,98795276
1,10000000,7543601447,98869264
1,10000000,7548219478,98716925
1,10000000,7543017207,98909139
1,10000000,7542127588,98612614
1,10000000,7557127313,98619033
1,10000000,7550715534,99206113
1,20000000,15244360047,198357864
1,20000000,15254210989,197215398
1,20000000,15190892929,198182661
1,20000000,17260210291,197695448
1,20000000,15174084573,197226714
1,20000000,17232925917,197256995
1,20000000,15155133440,197574271
1,20000000,17208074014,197625652
1,20000000,15162655858,198007279
1,20000000,17201885081,197441331
1,30000000,26108779077,295700953
1,30000000,26119785598,294599064
1,30000000,26093801787,294548966
1,30000000,26136606788,294827320
1,30000000,26084353974,294598743
1,30000000,26055341002,294784281
1,30000000,23022966489,295101928
1,30000000,23006129705,294420781
1,30000000,22936253300,294836123
1,30000000,22921644361,295270068
1,40000000,30596803276,393842689
1,40000000,30553458073,395562989
1,40000000,35073070991,394322148
1,40000000,34774153641,393880187
1,40000000,34786146294,393352467
1,40000000,34770333370,393176484
1,40000000,34784747231,395270860
1,40000000,34795419315,393471794
1,40000000,34792870731,392944342
1,40000000,34774989200,393080403
1,50000000,43461311813,493599626
1,50000000,43537825447,490941973
1,50000000,43466022999,493073054
1,50000000,43571816278,490460501
1,50000000,43474549432,490290343
1,50000000,43582531435,490342998
1,50000000,43597300949,490464571
1,50000000,43531531000,490780895
1,50000000,43583347286,490810185
1,50000000,43609264347,490473903
1,60000000,46279811452,589198228
1,60000000,46713508722,589835131
1,60000000,46334973947,592374438
1,60000000,46228104550,592464058
1,60000000,46038576816,592026912
1,60000000,46130850837,589369504
1,60000000,52740722454,590082452
1,60000000,52708853241,592672564
1,60000000,46181064674,591898523
1,60000000,46211281136,589461632
1,70000000,54022650703,688631354
1,70000000,53748900058,687965668
1,70000000,53768019655,691263019
1,70000000,55367778114,687655242
1,70000000,53751073450,687403702
1,70000000,61730161257,687726413
1,70000000,65689868457,690605827
1,70000000,61562992545,687474942
1,70000000,61497574202,687603980
1,70000000,61446617383,688140569
1,80000000,70245051255,785125872
1,80000000,61464910086,785089263
1,80000000,61421838251,788043635
1,80000000,61415944002,786825410
1,80000000,61408836595,788461642
1,80000000,61494617634,788462214
1,80000000,69679701629,784957436
1,80000000,70180301015,788067606
1,80000000,61195627091,788230444
1,80000000,70115868603,786460590
1,80000000,70295882601,784873033
1,80000000,70203005423,787231932
1,90000000,79107560890,1944857860
1,90000000,79207374673,901217405
1,90000000,79069673166,884527058
1,90000000,79190411493,887560850
1,90000000,79096981198,882674412
1,90000000,79096413802,884160660
1,90000000,69077229423,883447120
1,90000000,68980748871,883231679
2,10000,8246517,332349
2,10000,8052247,339915
2,10000,8728999,353801
2,10000,7639986,325759
2,10000,8172490,350938
2,10000,8597323,348126
2,10000,8420440,333956
2,10000,8230143,339102
2,10000,7983976,359358
2,10000,8083700,273077
2,10000,7744347,343070
2,10000,7847549,336548
2,20000,13348362,670971
2,20000,12407853,674664
2,20000,13425146,691258
2,20000,13163568,659667
2,20000,12175360,585474
2,20000,13614262,696826
2,20000,12703851,670289
2,20000,12828077,690415
2,20000,13499091,659056
2,20000,12541538,656755
2,30000,19938981,929114
2,30000,18539146,1377990
2,30000,19287574,1449245
2,30000,18505054,2000124
2,30000,18613584,1553286
2,30000,20398577,2008371
2,30000,19637508,1501360
2,30000,19025087,1404325
2,30000,18519681,1222376
2,30000,19734972,878160
2,40000,26428164,1317701
2,40000,23341720,1253679
2,40000,24917615,830353
2,40000,23656842,1229843
2,40000,25737480,1291239
2,40000,26956774,1308456
2,40000,24869140,1306979
2,40000,24540438,1308086
2,40000,23741582,1309402
2,40000,23785399,1164541
2,50000,32894684,1630900
2,50000,29748620,1620436
2,50000,32481946,1640831
2,50000,29300312,1180620
2,50000,33491138,1627110
2,50000,33271727,1630191
2,50000,29751513,1636518
2,50000,32068660,1640091
2,50000,30469412,1617997
2,50000,31897070,1609046
2,60000,37232873,1958226
2,60000,35017449,1400156
2,60000,31970576,1689191
2,60000,35995844,1951738
2,60000,36137890,1947476
2,60000,36652085,1964191
2,60000,33500907,1602897
2,60000,31945771,1404425
2,60000,34738439,1956781
2,60000,31973069,1410172
2,70000,37252352,2293495
2,70000,42173481,2167231
2,70000,37268128,1625940
2,70000,40700561,2270519
2,70000,34498492,2290276
2,70000,42352167,2276231
2,70000,37937935,2281229
2,70000,38595251,2285617
2,70000,44297776,2292207
2,70000,38863503,2262734
2,80000,45504844,2583160
2,80000,44544865,2587408
2,80000,44733934,2579524
2,80000,45594509,2591091
2,80000,39394522,1847069
2,80000,42250129,2611907
2,80000,43219599,1850111
2,80000,46358665,1856577
2,80000,41285539,1883139
2,80000,44477869,2595838
2,90000,49421821,2912066
2,90000,48397538,2910904
2,90000,44904183,2571162
2,90000,46892822,3325071
2,90000,48866188,2905766
2,90000,46735066,3731699
2,90000,44969342,2099622
2,90000,50900129,2703853
2,90000,45375413,2108168
2,90000,51890599,3383739
2,100000,51816222,3610085
2,100000,53731867,3709180
2,100000,50346034,2868328
2,100000,53632676,3674084
2,100000,53212790,2777387
2,100000,48503441,2801353
2,100000,51994770,2775185
2,100000,47927268,2817884
2,100000,47959383,2848848
2,100000,52918155,2333203
2,100000,50600293,3643599
2,100000,50631810,2759590
2,100000,48609738,2789209
2,100000,52443435,2734794
2,100000,54791268,2866858
2,100000,52142256,3584220
2,100000,48291269,2844339
2,100000,54062450,2794921
2,100000,51320074,2815789
2,100000,49300569,2782720
2,200000,90995919,4270292
2,200000,95717565,4443311
2,200000,98409248,4549802
2,200000,95959486,4473151
2,200000,91781301,4484517
2,200000,95028226,4443255
2,200000,91516000,4529293
2,200000,99031026,4515222
2,200000,91331589,4470309
2,200000,98719705,5392804
2,300000,143315644,7476370
2,300000,131598721,7287006
2,300000,138544584,7026746
2,300000,133059065,6993335
2,300000,141429821,7009234
2,300000,134870384,7029585
2,300000,139427789,8272721
2,300000,133157321,7730520
2,300000,141974213,7617943
2,300000,132143533,7004424
2,400000,193744954,8871345
2,400000,190023415,8703591
2,400000,193962108,8871618
2,400000,202640265,8833155
2,400000,195121246,8853985
2,400000,188778553,10145473
2,400000,193573983,8824868
2,400000,201292723,8698955
2,400000,198667443,8699149
2,400000,193141043,8702466
2,500000,226352208,11955107
2,500000,243441345,11187830
2,500000,215885576,11154482
2,500000,215861146,14850999
2,500000,217718742,10832795
2,500000,215393413,10775618
2,500000,214606672,12587723
2,500000,214561627,11778913
2,500000,244083645,13672885
2,500000,205305566,12559432
2,600000,254401026,13312371
2,600000,277506049,14713353
2,600000,251009047,13455966
2,600000,280604025,14100052
2,600000,259426213,13359490
2,600000,277281936,13378842
2,600000,264287888,13399159
2,600000,279844825,13359323
2,600000,261903250,14153328
2,600000,265047968,14278548
2,700000,295776728,15198094
2,700000,311748656,15550905
2,700000,291253436,15633064
2,700000,319700798,15420684
2,700000,301721286,15127519
2,700000,319930635,15075364
2,700000,285163678,16273653
2,700000,323518996,15070931
2,700000,297176347,15133579
2,700000,309494440,15700919
2,800000,385251402,17419638
2,800000,340048143,17511582
2,800000,334912661,20309217
2,800000,327356300,17522687
2,800000,328735078,18915078
2,800000,326696535,17426610
2,800000,335708720,17573618
2,800000,342134196,17415514
2,800000,333517288,19151520
2,800000,326592329,17452026
2,900000,403731705,21082556
2,900000,376114350,19888388
2,900000,442720765,19826439
2,900000,429040034,19837955
2,900000,381105697,21474465
2,900000,390510488,19962983
2,900000,615265074,19798398
2,900000,586358861,19808179
2,900000,386047476,19805941
2,900000,378226672,20636305
2,1000000,426607317,21421502
2,1000000,417824228,22176204
2,1000000,415217577,21357045
2,1000000,437197516,21431831
2,1000000,464720314,23032357
2,1000000,428076815,23075215
2,1000000,429824500,21368976
2,1000000,424018140,21382486
2,1000000,449627370,21329268
2,1000000,478878455,21688073
2,1000000,432994831,21367275
2,1000000,488721449,22251705
2,1000000,476344527,22594304
2,1000000,476068757,22530871
2,1000000,443177451,22936070
2,1000000,473502996,21865242
2,1000000,430730868,21648529
2,1000000,433362134,23066161
2,1000000,422236010,23119642
2,1000000,479104199,23705774
2,2000000,845610387,43047939
2,2000000,846056286,43097014
2,2000000,848552014,42814205
2,2000000,933733708,43068660
2,2000000,843551645,43075182
2,2000000,846386419,42932875
2,2000000,843745476,43033757
2,2000000,850770059,43066404
2,2000000,939236100,43092839
2,2000000,843733544,43068075
2,3000000,1511192322,64164350
2,3000000,1348318582,64135066
2,3000000,1325590808,64090361
2,3000000,1524601095,64103412
2,3000000,1529027913,64080122
2,3000000,1355623504,64227538
2,3000000,1339199529,64059576
2,3000000,1260266800,63867290
2,3000000,1444239799,63950504
2,3000000,1387522457,63958770
2,4000000,1790710094,86683894
2,4000000,1700174167,86323105
2,4000000,1776938310,86025684
2,4000000,1856122329,85817562
2,4000000,1865974096,85396169
2,4000000,1626636246,86084086
2,4000000,1955883577,85618559
2,4000000,1630136232,85411472
2,4000000,1869935221,85459286
2,4000000,1621958018,85600869
2,5000000,2056313241,106688150
2,5000000,2022626580,107372320
2,5000000,2368815087,106128614
2,5000000,2076359943,106389039
2,5000000,2380660517,106108097
2,5000000,2335782763,106159568
2,5000000,2364602728,106039288
2,5000000,2326495824,106516386
2,5000000,2371872879,106158742
2,5000000,2359795565,106192043
2,6000000,2695649045,127265032
2,6000000,2807805130,127069808
2,6000000,2851223373,127300377
2,6000000,2779155858,127390937
2,6000000,2779064395,127959445
2,6000000,2886250404,127200131
2,6000000,2796375508,127522877
2,6000000,2791581489,127286491
2,6000000,2896415047,127317763
2,6000000,2881054092,127211191
2,7000000,3160493585,148825549
2,7000000,2911595301,148751884
2,7000000,2881546618,148740129
2,7000000,2938349035,148632519
2,7000000,3268711178,149177072
2,7000000,2967340087,148687411
2,7000000,2977036109,148654742
2,7000000,2972809693,148637732
2,7000000,2953108357,147941501
2,7000000,2892420343,148683890
2,8000000,3249769087,169271513
2,8000000,3864707575,171445613
2,8000000,3871187538,171185649
2,8000000,3223636732,170675565
2,8000000,3261602876,169179807
2,8000000,3224357763,169334317
2,8000000,3263083483,170570044
2,8000000,3248159218,169554230
2,8000000,3211780039,169421133
2,8000000,3255210640,169224806
2,9000000,4252541133,190330722
2,9000000,4273996908,190152892
2,9000000,4213736888,190238255
2,9000000,4225705546,190327558
2,9000000,4350649814,190383700
2,9000000,4359382293,190297512
2,9000000,4229915827,190198507
2,9000000,4123205349,190321846
2,9000000,4118449296,195536446
2,9000000,4395293209,190888777
2,10000000,4908297160,212810541
2,10000000,4845742319,212582878
2,10000000,4494419898,211992648
2,10000000,4876515609,212270189
2,10000000,4528383271,212438169
2,10000000,4829906227,212793836
2,10000000,4847951701,214858653
2,10000000,4884061442,212334388
2,10000000,4885111408,213587877
2,10000000,4834521777,213075793
2,10000000,4595798283,212476808
2,10000000,4603697942,212926012
2,10000000,5259592689,212422675
2,10000000,4689926830,212689220
2,10000000,4618789653,212491245
2,10000000,4632240701,212396140
2,10000000,4644062554,212539272
2,10000000,4621063433,212423333
2,10000000,4900626848,214330702
2,10000000,4908726942,212895956
2,20000000,9344278075,423186425
2,20000000,9450158005,424323174
2,20000000,9495680927,423148182
2,20000000,9282680995,423355812
2,20000000,9274774336,423008851
2,20000000,9641393001,422869101
2,20000000,8415512998,421107917
2,20000000,9476664535,425803010
2,20000000,9409197891,423860671
2,20000000,9315798313,423023848
2,30000000,14211992545,633582559
2,30000000,12730043668,634198072
2,30000000,12760249299,634368318
2,30000000,12651436600,633329069
2,30000000,12676302020,633782354
2,30000000,14604966966,633715336
2,30000000,14298969841,633768675
2,30000000,14489102850,633507823
2,30000000,14505544305,633818990
2,30000000,12665870653,634086881
2,40000000,17004700078,844596707
2,40000000,17082847381,844653357
2,40000000,18962975629,845207067
2,40000000,18889936923,844748545
2,40000000,17060608166,845240849
2,40000000,19694371485,845438630
2,40000000,19567450288,845322460
2,40000000,19676494603,844257386
2,40000000,19508234384,844035784
2,40000000,19092955860,844984481
2,50000000,23882601294,1054871661
2,50000000,23800944399,1054603680
2,50000000,23795887052,1055624812
2,50000000,24095282385,1054436261
2,50000000,23695009532,1055745616
2,50000000,23748753742,1054746885
2,50000000,23885074061,1054376402
2,50000000,23694229767,1055167688
2,50000000,24063891990,1055175461
2,50000000,23843482519,1055364307
2,60000000,28789575180,1266248243
2,60000000,25359033598,1265992306
2,60000000,25399228152,1267191481
2,60000000,25419558859,1266797769
2,60000000,28970586083,1266429361
2,60000000,25312721461,1265661679
2,60000000,25696246672,1266335988
2,60000000,25681976241,1266896479
2,60000000,25291750198,1265923777
2,60000000,29729593902,1265640784
2,70000000,34715452066,1477210256
2,70000000,33716314070,1476835588
2,70000000,32702591180,1477138781
2,70000000,33064089453,1477135421
2,70000000,29259569516,1476573642
2,70000000,29356558966,1479635743
2,70000000,33445471325,1476660953
2,70000000,29447587814,1477058764
2,70000000,29437860505,1477769214
2,70000000,29187134028,1476607234
2,80000000,39673353418,1687057532
2,80000000,39074261887,1698104249
2,80000000,34190189067,1688729207
2,80000000,38844244993,1694297978
2,80000000,39401666514,1687687565
2,80000000,38917177411,1687810928
2,80000000,39381336123,1687794055
2,80000000,38716585624,1687115416
2,80000000,34692014184,1689727787
2,80000000,39135013589,1687479077
2,90000000,43581327569,1898022598
2,90000000,43682386646,1897302440
2,90000000,43594287996,1897674464
2,90000000,43821592517,1897732625
2,90000000,43720120472,1898929456
2,90000000,43769032354,1897246346
2,90000000,43606849883,1896821119
2,90000000,43738049843,1897566705
2,90000000,43249241629,1898359612
2,90000000,43718039575,1897439267
2,100000000,48099958368,2329780162
2,100000000,48650784911,2154318796
2,100000000,48548448142,2120047764
2,100000000,48522566786,2149694558
2,100000000,47876647942,2119519604
2,100000000,48572738567,2124062817
2,100000000,48779618025,2120542566
2,100000000,48689027974,2132208890
2,100000000,48045152914,2118664417
2,100000000,48499990856,2121093550
4,10000,6976060,390395
4,10000,6410299,548264
4,10000,6057206,416562
4,10000,6063242,570693
4,10000,5856382,558737
4,10000,6109405,555350
4,10000,6570840,552386
4,10000,6289246,403845
4,10000,6238279,551786
4,10000,5809411,408148
4,20000,9469769,1097687
4,20000,10174635,1113730
4,20000,9293514,1123026
4,20000,9774348,1091346
4,20000,9501683,1087561
4,20000,8571169,793851
4,20000,9591692,1100677
4,20000,10115098,1082339
4,20000,9760666,1097492
4,20000,9478796,1080873
4,30000,12552840,1631745
4,30000,13353492,1634123
4,30000,13686914,1616392
4,30000,12433866,1620435
4,30000,14032603,1643735
4,30000,13460496,1631022
4,30000,12894596,1631251
4,30000,13734656,1655032
4,30000,13057127,1569577
4,30000,12758945,1610969
4,40000,17710377,2175411
4,40000,16770886,2228440
4,40000,16694126,2174169
4,40000,16199700,2192774
4,40000,16801169,2209207
4,40000,17162644,2211440
4,40000,16795944,2210071
4,40000,17381791,2185367
4,40000,17085517,2181164
4,40000,16373531,2197294
4,50000,19349991,2810477
4,50000,20126073,2714313
4,50000,18944847,2579881
4,50000,17794158,2692499
4,50000,18507968,2710482
4,50000,18322016,2716239
4,50000,18009755,2724635
4,50000,19262013,2708256
4,50000,19305991,2725497
4,50000,19157219,2724806
4,60000,24544557,3231881
4,60000,21050606,3626340
4,60000,23621568,3240748
4,60000,23145984,3236521
4,60000,21187271,3252694
4,60000,22436204,3227673
4,60000,21433266,2313451
4,60000,22941148,3545234
4,60000,22236391,3231086
4,60000,22475694,3235780
4,70000,26210099,4152182
4,70000,27264083,4097049
4,70000,24998500,3163389
4,70000,26043557,3394925
4,70000,23812111,3764645
4,70000,28668693,4181686
4,70000,26959326,3756202
4,70000,25569209,4155451
4,70000,27041544,4154608
4,70000,27272006,3111284
4,80000,26002953,4364391
4,80000,30152284,4834536
4,80000,27055015,4812242
4,80000,26219723,4315184
4,80000,29657717,3617031
4,80000,29105879,4816741
4,80000,29769273,4350271
4,80000,30724051,4818883
4,80000,28844101,4735443
4,80000,29317688,4836152
4,90000,30710435,5317856
4,90000,29340945,5280713
4,90000,31809402,5258159
4,90000,30733187,5374283
4,90000,32058398,5390294
4,90000,31139961,5407780
4,90000,34212295,5319420
4,90000,30616090,5380002
4,90000,34582913,3981261
4,90000,32956905,5296500
4,100000,33905041,5791068
4,100000,36443957,5810950
4,100000,31834005,5719780
4,100000,34327562,5770728
4,100000,35018754,4450417
4,100000,29637240,4295937
4,100000,33120190,5796687
4,100000,32672294,4193842
4,100000,31520636,5768749
4,100000,33997398,4061438
4,100000,34083955,5751191
4,100000,35185105,5817315
4,100000,32826880,5760911
4,100000,36615283,5773252
4,100000,33494186,4268283
4,100000,31641857,5717114
4,100000,36179402,5824718
4,100000,30317356,4302140
4,100000,32690262,5763544
4,100000,32651672,4303740
4,200000,61527244,9893465
4,200000,57601925,10450273
4,200000,60032200,7786729
4,200000,59717834,8056861
4,200000,60106399,7788466
4,200000,57711643,10008081
4,200000,63191686,7707458
4,200000,61132062,10391346
4,200000,59266348,8365611
4,200000,59182937,8547021
4,300000,92308223,11087054
4,300000,95832370,11145545
4,300000,91210073,11497703
4,300000,87755683,11477493
4,300000,93900482,11672741
4,300000,94083538,11045678
4,300000,85023289,11108748
4,300000,95219691,11075811
4,300000,91689496,11537279
4,300000,86875833,10956750
4,400000,110834215,15086750
4,400000,123063852,16978362
4,400000,114148008,14958975
4,400000,114899213,15990025
4,400000,112673377,14968293
4,400000,117411906,14973669
4,400000,114345811,15103449
4,400000,112715256,14972999
4,400000,114109351,15161181
4,400000,112848203,15117702
4,500000,139826396,18545988
4,500000,136023807,18580842
4,500000,132893219,18641421
4,500000,382996766,18418408
4,500000,132894789,18478307
4,500000,135757918,18461493
4,500000,147767639,18501607
4,500000,134256342,18515696
4,500000,142199425,18582039
4,500000,139477941,18484208
4,600000,175677106,21807973
4,600000,180955334,21820081
4,600000,159035763,22356885
4,600000,156569101,22370386
4,600000,166652888,22413843
4,600000,161875236,23058356
4,600000,172260961,22292117
4,600000,167395304,22500602
4,600000,173247239,22343283
4,600000,179639478,21810216
4,700000,191497364,25636132
4,700000,204871676,25676642
4,700000,191622884,27183786
4,700000,634040195,25843679
4,700000,198427316,26842127
4,700000,192373532,25867878
4,700000,190213338,25560655
4,700000,204594420,25862422
4,700000,183586657,25623661
4,700000,195294395,25565134
4,800000,218817110,29851541
4,800000,221289347,29154518
